id,name,tier,engine,emulated,dataset,level,status,input_bytes,archive_bytes,ratio_pct,compress_s_median,decompress_s_median,compress_rss_bytes,verify
tar-lz4,tar.lz4 (LZ4),A,native,False,documents,max,ok,15493604,15429841,99.588,0.099,0.019,34340864,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,documents,default,ok,15493604,12816814,82.723,2.822,0.816,93192192,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,documents,max,ok,15493604,9314358,60.117,3.144,0.612,158482432,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,documents,default,ok,15493604,15448717,99.71,0.038,0.039,2195456,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,documents,max,ok,15493604,15424784,99.556,0.714,0.02,2539520,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,documents,default,ok,15493604,9280321,59.898,0.809,0.177,60391424,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,documents,max,ok,15493604,9279937,59.895,0.894,0.182,95715328,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,documents,default,ok,15493604,12743420,82.25,2.471,0.133,127582208,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,documents,max,ok,15493604,9261524,59.776,2.06,0.131,233816064,decompressed tar SHA-256 matches canonical tar
tar-z,"tar.Z (compress, LZW 1984)",A,native,False,documents,default,ok,15493604,20521511,132.452,0.322,0.141,1966080,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,documents,default,ok,15493604,15431811,99.601,0.031,0.031,38731776,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,documents,max,ok,15493604,9252215,59.716,0.597,0.019,299089920,decompressed tar SHA-256 matches canonical tar
wim,"WIM (wimlib, LZX)",A,native,False,documents,default,ok,15493604,15400182,99.397,0.065,0.042,17399808,6 files verified against manifest
wim,"WIM (wimlib, LZX)",A,native,False,documents,max,ok,15493604,15399406,99.392,0.07,0.041,17416192,6 files verified against manifest
xar,xar (macOS eXtensible ARchiver),A,native,False,documents,default,ok,15493604,15400031,99.396,0.352,0.051,6832128,6 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,documents,default,ok,15493604,15394093,99.358,0.31,0.099,1851392,6 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,documents,max,ok,15493604,15393992,99.357,0.303,0.098,1835008,6 files verified against manifest
zoo,zoo (1986),B,native,False,documents,default,ok,15493604,15503529,100.064,0.929,0.077,1949696,decompressed tar SHA-256 matches canonical tar
zoo,zoo (1986),B,native,False,documents,max,ok,15493604,15428541,99.58,0.72,0.609,1949696,decompressed tar SHA-256 matches canonical tar
zpaq,zpaq (journaling PAQ-family),A,native,False,documents,default,ok,15493604,9577412,61.815,0.128,0.07,28082176,6 files verified against manifest
zpaq,zpaq (journaling PAQ-family),A,native,False,documents,max,ok,15493604,9188980,59.308,29.429,30.486,299352064,6 files verified against manifest
apple-archive,"Apple Archive (.aar, lzfse)",A,native,False,full,default,ok,57747676,47666680,82.543,0.085,0.055,86327296,18 files verified against manifest
ar,"ar (appendix: unix archiver, store-only)",A,native,False,full,default,ok,57747676,57774148,100.046,0.175,0.082,1228800,decompressed tar SHA-256 matches canonical tar
arc-sea,"ARC (SEA, 1985)",B,native,False,full,default,ok,57747676,65318727,113.111,1.327,0.26,1982464,decompressed tar SHA-256 matches canonical tar
arj,ARJ (1991),B,native,False,full,default,ok,57747676,47397029,82.076,1.053,0.646,2359296,18 files verified against manifest
arj,ARJ (1991),B,native,False,full,max,ok,57747676,47394101,82.071,1.093,0.628,2342912,18 files verified against manifest
cab,"CAB (gcab, MSZIP)",A,native,False,full,default,ok,57747676,47903026,82.952,0.961,0.16,17285120,18 files verified against manifest
cpio,cpio (appendix: store-only),A,native,False,full,default,ok,57747676,57750016,100.004,0.255,0.06,3293184,18 files verified against manifest
dar,dar (Disk ARchive),A,native,False,full,default,ok,57747676,47305099,81.917,1.733,0.297,11911168,18 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,full,default,ok,57747676,49062594,84.96,6.077,0.348,6586368,18 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,full,max,ok,57747676,48325926,83.685,6.065,0.323,6602752,18 files verified against manifest
dmg-ulmo,"DMG (ULMO, lzma-compressed image)",A,native,False,full,default,ok,57747676,46100879,79.832,11.09,0.844,6586368,18 files verified against manifest
freearc,"FreeArc 0.666 (2007, Wine)",C,wine,True,full,default,timeout,57747676,,,,,,
freearc,"FreeArc 0.666 (2007, Wine)",C,wine,True,full,max,timeout,57747676,,,,,,
freeze,freeze (1993),B,native,False,full,default,ok,57747676,47972277,83.072,4.123,3.053,1949696,decompressed tar SHA-256 matches canonical tar
ha,"HA (1993, PPM-family)",B,native,False,full,default,ok,57747676,47964248,83.058,4.218,3.77,1949696,decompressed tar SHA-256 matches canonical tar
iso,"ISO 9660 (mkisofs, store-only)",A,native,False,full,default,ok,57747676,58150912,100.698,0.031,0.027,6586368,18 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,full,default,ok,57747676,47741021,82.672,2.286,1.044,2260992,18 files verified against manifest
